"Naics code
Code Scian",Description_English,"Year
Année"
33461,Manufacturing and Reproducing Magnetic and Optical Media,2014
33511,Electric Lamp Bulb and Parts Manufacturing,2014
33512,Lighting Fixture Manufacturing,2014
33521,Small Electrical Appliance Manufacturing,2014
33522,Major Appliance Manufacturing,2014
33531,Electrical Equipment Manufacturing,2014
33591,Battery Manufacturing,2014
33592,Communication and Energy Wire and Cable Manufacturing,2014
33593,Wiring Device Manufacturing,2014
33599,All Other Electrical Equipment and Component Manufacturing,2014
33611,Automobile and Light-Duty Motor Vehicle Manufacturing,2014
33612,Heavy-Duty Truck Manufacturing,2014
33621,Motor Vehicle Body and Trailer Manufacturing,2014
33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,2014
33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing,2014
33633,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,2014
33634,Motor Vehicle Brake System Manufacturing,2014
33635,Motor Vehicle Transmission and Power Train Parts Manufacturing,2014
33636,Motor Vehicle Seating and Interior Trim Manufacturing,2014
33637,Motor Vehicle Metal Stamping,2014
33639,Other Motor Vehicle Parts Manufacturing,2014
33641,Aerospace Product and Parts Manufacturing,2014
33651,Railroad Rolling Stock Manufacturing,2014
33661,Ship and Boat Building,2014
33699,Other Transportation Equipment Manufacturing,2014
33711,Wood Kitchen Cabinet and Counter Top Manufacturing,2014
33712,Household and Institutional Furniture Manufacturing,2014
33721,Office Furniture (including Fixtures) Manufacturing,2014
33791,Mattress Manufacturing,2014
33792,Blind and Shade Manufacturing,2014
33911,Medical Equipment and Supplies Manufacturing,2014
33991,Jewellery and Silverware Manufacturing,2014
33992,Sporting and Athletic Goods Manufacturing,2014
33993,"Doll, Toy and Game Manufacturing",2014
33994,Office Supplies (except Paper) Manufacturing,2014
33995,Sign Manufacturing,2014
33999,All Other Miscellaneous Manufacturing,2014
41111,Live Animal Wholesaler-Distributors,2014
41112,Oilseed and Grain Wholesaler-Distributors,2014
41113,Nursery Stock and Plant Wholesaler-Distributors,2014
41119,Other Farm Product Wholesaler-Distributors,2014
41211,Petroleum Product Wholesaler-Distributors,2014
41311,General-Line Food Wholesaler-Distributors,2014
41312,Dairy and Milk Products Wholesaler-Distributors,2014
41313,Poultry and Egg Wholesaler-Distributors,2014
41314,Fish and Seafood Product Wholesaler-Distributors,2014
41315,Fresh Fruit and Vegetable Wholesaler-Distributors,2014
41316,Red Meat and Meat Product Wholesaler-Distributors,2014
41319,Other Specialty-Line Food Wholesaler-Distributors,2014
41321,Non-Alcoholic Beverage Wholesaler-Distributors,2014
41322,Alcoholic Beverage Wholesaler-Distributors,2014
41331,Cigarette and Tobacco Product Wholesaler-Distributors,2014
41411,Clothing and Clothing Accessories Wholesaler-Distributors,2014
41412,Footwear Wholesaler-Distributors,2014
41413,"Piece Goods, Notions and Other Dry Goods Wholesaler-Distributors",2014
41421,Home Entertainment Equipment Wholesaler-Distributors,2014
41422,Household Appliance Wholesaler-Distributors,2014
41431,"China, Glassware, Crockery and Pottery Wholesaler-Distributors",2014
41432,Floor Covering Wholesaler-Distributors,2014
41433,"Linen, Drapery and Other Textile Furnishings Wholesaler-Distributors",2014
41439,Other Home Furnishings Wholesaler-Distributors,2014
41441,Jewellery and Watch Wholesaler-Distributors,2014
41442,"Book, Periodical and Newspaper Wholesaler-Distributors",2014
41443,Photographic Equipment and Supplies Wholesaler-Distributors,2014
41444,Sound Recording Wholesalers,2014
41445,Video Cassette Wholesalers,2014
41446,Toy and Hobby Goods Wholesaler-Distributors,2014
41447,Amusement and Sporting Goods Wholesaler-Distributors,2014
41451,Pharmaceuticals and Pharmacy Supplies Wholesaler-Distributors,2014
41452,"Toiletries, Cosmetics and Sundries Wholesaler-Distributors",2014
41511,New and Used Automobile and Light-Duty Truck Wholesaler-Distributors,2014
41512,"Truck, Truck Tractor and Bus Wholesaler-Distributors",2014
41519,Recreational and Other Motor Vehicles Wholesaler-Distributors,2014
41521,Tire Wholesaler-Distributors,2014
41529,Other New Motor Vehicle Parts and Accessories Wholesaler-Distributors,2014
41531,Used Motor Vehicle Parts and Accessories Wholesaler-Distributors,2014
41611,Electrical Wiring and Construction Supplies Wholesaler-Distributors,2014
41612,"Plumbing, Heating and Air-Conditioning Equipment and Supplies Wholesaler-Distributors",2014
41621,Metal Service Centres,2014
41631,General-Line Building Supplies Wholesaler-Distributors,2014
41632,"Lumber, Plywood and Millwork Wholesaler-Distributors",2014
41633,Hardware Wholesaler-Distributors,2014
41634,"Paint, Glass and Wallpaper Wholesaler-Distributors",2014
41639,Other Specialty-Line Building Supplies Wholesaler-Distributors,2014
41711,"Farm, Lawn and Garden Machinery and Equipment Wholesaler-Distributors",2014
41721,"Construction and Forestry Machinery, Equipment and Supplies Wholesaler-Distributors",2014
41722,"Mining and Oil and Gas Well Machinery, Equipment and Supplies Wholesaler-Distributors",2014
41723,"Industrial Machinery, Equipment and Supplies Wholesaler-Distributors",2014
41731,"Computer, Computer Peripheral and Pre-Packaged Software Wholesaler-Distributors",2014
41732,"Electronic Components, Navigational and Communications Equipment and Supplies Wholesaler-Distributors",2014
41791,Office and Store Machinery and Equipment Wholesaler-Distributors,2014
41792,"Service Establishment Machinery, Equipment and Supplies Wholesaler-Distributors",2014
41793,"Professional Machinery, Equipment and Supplies Wholesaler-Distributors",2014
41799,"All Other Machinery, Equipment and Supplies Wholesaler-Distributors",2014
41811,Recyclable Metal Wholesaler-Distributors,2014
41812,Recyclable Paper and Paperboard Wholesaler-Distributors,2014
41819,Other Recyclable Material Wholesaler-Distributors,2014
41821,Stationery and Office Supplies Wholesaler-Distributors,2014
41822,Other Paper and Disposable Plastic Product Wholesaler-Distributors,2014
41831,Agricultural Feed Wholesaler-Distributors,2014
41832,Seed Wholesaler-Distributors,2014
41839,Agricultural Chemical and Other Farm Supplies Wholesaler-Distributors,2014
41841,Chemical (except Agricultural) and Allied Product Wholesaler-Distributors,2014
41891,Log and Wood Chip Wholesaler-Distributors,2014
41892,"Mineral, Ore and Precious Metal Wholesaler-Distributors",2014
41893,Second-Hand Goods (except Machinery and Automotive) Wholesaler-Distributors,2014
41899,All Other Wholesaler-Distributors,2014
41911,Business-to-Business Electronic Markets,2014
41912,Wholesale Trade Agents and Brokers,2014
44111,New Car Dealers,2014
44112,Used Car Dealers,2014
44121,Recreational Vehicle Dealers,2014
44122,"Motorcycle, Boat and Other Motor Vehicle Dealers",2014
44131,Automotive Parts and Accessories Stores,2014
44132,Tire Dealers,2014
44211,Furniture Stores,2014
44221,Floor Covering Stores,2014
44229,Other Home Furnishings Stores,2014
44311,"Appliance, Television and Other Electronics Stores",2014
44312,Computer and Software Stores,2014
44313,Camera and Photographic Supplies Stores,2014
44314,Electronics and appliance stores,2014
44411,Home Centres,2014
44412,Paint and Wallpaper Stores,2014
44413,Hardware Stores,2014
44419,Other Building Material Dealers,2014
44421,Outdoor Power Equipment Stores,2014
44422,Nursery Stores and Garden Centres,2014
44511,Supermarkets and Other Grocery (except Convenience) Stores,2014
44512,Convenience Stores,2014
44521,Meat Markets,2014
44522,Fish and Seafood Markets,2014
44523,Fruit and Vegetable Markets,2014
44529,Other Specialty Food Stores,2014
44531,"Beer, Wine and Liquor Stores",2014
44611,Pharmacies and Drug Stores,2014
44612,"Cosmetics, Beauty Supplies and Perfume Stores",2014
44613,Optical Goods Stores,2014
44619,Other Health and Personal Care Stores,2014
44711,Gasoline Stations with Convenience Stores,2014
44719,Other Gasoline Stations,2014
44811,Men's Clothing Stores,2014
44812,Women's Clothing Stores,2014
44813,Children's and Infants' Clothing Stores,2014
44814,Family Clothing Stores,2014
44815,Clothing Accessories Stores,2014
44819,Other Clothing Stores,2014
44821,Shoe Stores,2014
44831,Jewellery Stores,2014
44832,Luggage and Leather Goods Stores,2014
45111,Sporting Goods Stores,2014
45112,"Hobby, Toy and Game Stores",2014
45113,"Sewing, Needlework and Piece Goods Stores",2014
45114,Musical Instrument and Supplies Stores,2014
45121,Book Stores and News Dealers,2014
45122,"Pre-Recorded Tape, Compact Disc and Record Stores",2014
45131,Book stores and news dealers,2014
45211,Department Stores,2014
45291,Warehouse Clubs and Superstores,2014
45299,All Other General Merchandise Stores,2014
45311,Florists,2014
45321,Office Supplies and Stationery Stores,2014
45322,"Gift, Novelty and Souvenir Stores",2014
45331,Used Merchandise Stores,2014
45391,Pet and Pet Supplies Stores,2014
45392,Art Dealers,2014
45393,Mobile Home Dealers,2014
45399,All Other Miscellaneous Store Retailers,2014
45411,Electronic Shopping and Mail-Order Houses,2014
45421,Vending Machine Operators,2014
45431,Fuel Dealers,2014
45439,Other Direct Selling Establishments,2014
48111,Scheduled Air Transportation,2014
48121,Non-Scheduled Air Transportation,2014
48211,Rail Transportation,2014
48311,"Deep Sea, Coastal and Great Lakes Water Transportation",2014
48321,Inland Water Transportation,2014
48411,"General Freight Trucking, Local",2014
48412,"General Freight Trucking, Long Distance",2014
48421,Used Household and Office Goods Moving,2014
48422,"Specialized Freight (except Used Goods) Trucking, Local",2014
48423,"Specialized Freight (except Used Goods) Trucking, Long Distance",2014
48511,Urban Transit Systems,2014
48521,Interurban and Rural Bus Transportation,2014
48531,Taxi Service,2014
48532,Limousine Service,2014
48541,School and Employee Bus Transportation,2014
48551,Charter Bus Industry,2014
48599,Other Transit and Ground Passenger Transportation,2014
48611,Pipeline Transportation of Crude Oil,2014
48621,Pipeline Transportation of Natural Gas,2014
48691,Pipeline Transportation of Refined Petroleum Products,2014
48699,All Other Pipeline Transportation,2014
48711,"Scenic and Sightseeing Transportation, Land",2014
48721,"Scenic and Sightseeing Transportation, Water",2014
48799,"Scenic and Sightseeing Transportation, Other",2014
48811,Airport Operations,2014
48819,Other Support Activities for Air Transportation,2014
48821,Support Activities for Rail Transportation,2014
48831,Port and Harbour Operations,2014
48832,Marine Cargo Handling,2014
48833,Navigational Services to Shipping,2014
48839,Other Support Activities for Water Transportation,2014
48841,Motor Vehicle Towing,2014
48849,Other Support Activities for Road Transportation,2014
48851,Freight Transportation Arrangement,2014
48899,Other Support Activities for Transportation,2014
49111,Postal Service,2014
49211,Couriers,2014
49221,Local Messengers and Local Delivery,2014
49311,General Warehousing and Storage,2014
49312,Refrigerated Warehousing and Storage,2014
49313,Farm Product Warehousing and Storage,2014
49319,Other Warehousing and Storage,2014
51111,Newspaper Publishers,2014
51112,Periodical Publishers,2014
51113,Book Publishers,2014
51114,Directory and Mailing List Publishers,2014
51119,Other Publishers,2014
51121,Software Publishers,2014
51211,Motion Picture and Video Production,2014
51212,Motion Picture and Video Distribution,2014
51213,Motion Picture and Video Exhibition,2014
51219,Post-Production and Other Motion Picture and Video Industries,2014
51221,Record Production,2014
51222,Integrated Record Production/Distribution,2014
51223,Music Publishers,2014
51224,Sound Recording Studios,2014
51229,Other Sound Recording Industries,2014
51511,Radio Broadcasting,2014
51512,Television Broadcasting,2014
51521,Pay and Specialty Television,2014
51711,Wired Telecommunications Carriers,2014
51721,Wireless Telecommunications Carriers (except Satellite),2014
51741,Satellite Telecommunications,2014
51791,Other Telecommunications,2014
51821,"Data Processing, Hosting, and Related Services",2014
51911,News Syndicates,2014
51912,Libraries and Archives,2014
51913,"Internet Publishing and Broadcasting, and Web Search Portals",2014
51919,All Other Information Services,2014
53111,Lessors of Residential Buildings and Dwellings,2014
53112,Lessors of Non-Residential Buildings (except Mini-Warehouses),2014
53113,Self-Storage Mini-Warehouses,2014
53119,Lessors of Other Real Estate Property,2014
53121,Offices of Real Estate Agents and Brokers,2014
53131,Real Estate Property Managers,2014
53132,Offices of Real Estate Appraisers,2014
53139,Other Activities Related to Real Estate,2014
53211,Passenger Car Rental and Leasing,2014
53212,"Truck, Utility Trailer and RV (Recreational Vehicle) Rental and Leasing",2014
53221,Consumer Electronics and Appliance Rental,2014
53222,Formal Wear and Costume Rental,2014
53223,Video Tape and Disc Rental,2014
53229,Other Consumer Goods Rental,2014
53231,General Rental Centres,2014
53241,"Construction, Transportation, Mining, and Forestry Machinery and Equipment Rental and Leasing",2014
53242,Office Machinery and Equipment Rental and Leasing,2014
53249,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,2014
53311,Lessors of Non-Financial Intangible Assets (Except Copyrighted Works),2014
54111,Offices of Lawyers,2014
54112,Offices of Notaries,2014
54119,Other Legal Services,2014
54121,"Accounting, Tax Preparation, Bookkeeping and Payroll Services",2014
54131,Architectural Services,2014
54132,Landscape Architectural Services,2014
54133,Engineering Services,2014
54134,Drafting Services,2014
54135,Building Inspection Services,2014
54136,Geophysical Surveying and Mapping Services,2014
54137,Surveying and Mapping (except Geophysical) Services,2014
54138,Testing Laboratories,2014
54141,Interior Design Services,2014
54142,Industrial Design Services,2014
54143,Graphic Design Services,2014
54149,Other Specialized Design Services,2014
54151,Computer Systems Design and Related Services,2014
54161,Management Consulting Services,2014
54162,Environmental Consulting Services,2014
54169,Other Scientific and Technical Consulting Services,2014
54171,"Research and Development in the Physical, Engineering and Life Sciences",2014
54172,Research and Development in the Social Sciences and Humanities,2014
54181,Advertising Agencies,2014
54182,Public Relations Services,2014
54183,Media Buying Agencies,2014
54184,Media Representatives,2014
54185,Display Advertising,2014
54186,Direct Mail Advertising,2014
54187,Advertising Material Distribution Services,2014
54189,Other Services Related to Advertising,2014
54191,Marketing Research and Public Opinion Polling,2014
54192,Photographic Services,2014
54193,Translation and Interpretation Services,2014
54194,Veterinary Services,2014
54199,"All Other Professional, Scientific and Technical Services",2014
55111,Management of Companies and Enterprises,2014
56111,Office Administrative Services,2014
56121,Facilities Support Services,2014
56131,Employment Placement Agencies and Executive Search Services,2014
56132,Temporary Help Services,2014
56133,Professional Employer Organizations,2014
56141,Document Preparation Services,2014
56142,Telephone Call Centres,2014
56143,Business Service Centres,2014
56144,Collection Agencies,2014
56145,Credit Bureaus,2014
56149,Other Business Support Services,2014
56151,Travel Agencies,2014
56152,Tour Operators,2014
56159,Other Travel Arrangement and Reservation Services,2014
56161,"Investigation, Guard and Armoured Car Services",2014
56162,Security Systems Services,2014
56171,Exterminating and Pest Control Services,2014
56172,Janitorial Services,2014
56173,Landscaping Services,2014
56174,Carpet and Upholstery Cleaning Services,2014
56179,Other Services to Buildings and Dwellings,2014
56191,Packaging and Labelling Services,2014
56192,Convention and Trade Show Organizers,2014
56199,All Other Support Services,2014
56211,Waste Collection,2014
56221,Waste Treatment and Disposal,2014
56291,Remediation Services,2014
56292,Material Recovery Facilities,2014
56299,All Other Waste Management Services,2014
61111,Elementary and Secondary Schools,2014
61121,Community Colleges and C.E.G.E.P.s,2014
61131,Universities,2014
61141,Business and Secretarial Schools,2014
61142,Computer Training,2014
61143,Professional and Management Development Training,2014
61151,Technical and Trade Schools,2014
61161,Fine Arts Schools,2014
61162,Athletic Instruction,2014
61163,Language Schools,2014
61169,All Other Schools and Instruction,2014
61171,Educational Support Services,2014
62111,Offices of Physicians,2014
62121,Offices of Dentists,2014
62131,Offices of Chiropractors,2014
62132,Offices of Optometrists,2014
62133,Offices of Mental Health Practitioners (except Physicians),2014
62134,"Offices of Physical, Occupational, and Speech Therapists and Audiologists",2014
62139,Offices of All Other Health Practitioners,2014
62141,Family Planning Centres,2014
62142,Out-Patient Mental Health and Substance Abuse Centres,2014
62149,Other Out-Patient Care Centres,2014
62151,Medical and Diagnostic Laboratories,2014
62161,Home Health Care Services,2014
62191,Ambulance Services,2014
62199,All Other Ambulatory Health Care Services,2014
62211,General Medical and Surgical Hospitals,2014
62221,Psychiatric and Substance Abuse Hospitals,2014
62231,Specialty (except Psychiatric and Substance Abuse) Hospitals,2014
62311,Nursing Care Facilities,2014
62321,Residential Developmental Handicap Facilities,2014
62322,Residential Mental Health and Substance Abuse Facilities,2014
62331,Community Care Facilities for the Elderly,2014
62399,Other Residential Care Facilities,2014
62411,Child and Youth Services,2014
62412,Services for the Elderly and Persons with Disabilities,2014
62419,Other Individual and Family Services,2014
62421,Community Food Services,2014
62422,Community Housing Services,2014
62423,Emergency and Other Relief Services,2014
62431,Vocational Rehabilitation Services,2014
62441,Child Day-Care Services,2014
71111,Theatre Companies and Dinner Theatres,2014
71112,Dance Companies,2014
71113,Musical Groups and Artists,2014
71119,Other Performing Arts Companies,2014
71121,Spectator Sports,2014
71131,"Promoters (Presenters) of Performing Arts, Sports and Similar Events with Facilities",2014
71132,"Promoters (Presenters) of Performing Arts, Sports and Similar Events without Facilities",2014
71141,"Agents and Managers for Artists, Athletes, Entertainers and Other Public Figures",2014
71151,"Independent Artists, Writers and Performers",2014
71211,Museums,2014
71212,Historic and Heritage Sites,2014
71213,Zoos and Botanical Gardens,2014
71219,Nature Parks and Other Similar Institutions,2014
71311,Amusement and Theme Parks,2014
71312,Amusement Arcades,2014
71321,Casinos (except Casino Hotels),2014
71329,Other Gambling Industries,2014
71391,Golf Courses and Country Clubs,2014
71392,Skiing Facilities,2014
71393,Marinas,2014
71394,Fitness and Recreational Sports Centres,2014
71395,Bowling Centres,2014
71399,All Other Amusement and Recreation Industries,2014
72111,Hotels (except Casino Hotels) and Motels,2014
72112,Casino Hotels,2014
72119,Other Traveller Accommodation,2014
72121,RV (Recreational Vehicle) Parks and Recreational Camps,2014
72131,Rooming and Boarding Houses,2014
72211,Full-Service Restaurants,2014
72221,Limited-Service Eating Places,2014
72231,Food Service Contractors,2014
72232,Caterers,2014
72233,Mobile Food Services,2014
72241,Drinking Places (Alcoholic Beverages),2014
72251,Full-service restaurants and limited-service eating places,2014
81111,Automotive Mechanical and Electrical Repair and Maintenance,2014
81112,"Automotive Body, Paint, Interior and Glass Repair",2014
81119,Other Automotive Repair and Maintenance,2014
81121,Electronic and Precision Equipment Repair and Maintenance,2014
81131,Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,2014
81141,Home and Garden Equipment and Appliance Repair and Maintenance,2014
81142,Reupholstery and Furniture Repair,2014
81143,Footwear and Leather Goods Repair,2014
81149,Other Personal and Household Goods Repair and Maintenance,2014
81211,Hair Care and Esthetic Services,2014
81219,Other Personal Care Services,2014
81221,Funeral Homes,2014
81222,Cemeteries and Crematoria,2014
81231,Coin-Operated Laundries and Dry Cleaners,2014
81232,Dry Cleaning and Laundry Services (except Coin-Operated),2014
81233,Linen and Uniform Supply,2014
81291,Pet Care (except Veterinary) Services,2014
81292,Photo Finishing Services,2014
81293,Parking Lots and Garages,2014
81299,All Other Personal Services,2014
81311,Religious Organizations,2014
81321,Grant-Making and Giving Services,2014
81331,Social Advocacy Organizations,2014
81341,Civic and Social Organizations,2014
81391,Business Associations,2014
81392,Professional Organizations,2014
81393,Labour Organizations,2014
81394,Political Organizations,2014
81399,Other Membership Organizations,2014
81411,Private Households,2014
111110,Soybean Farming,2014
111120,Oilseed (except Soybean) Farming,2014
111130,Dry Pea and Bean Farming,2014
111140,Wheat Farming,2014
111150,Corn Farming,2014
111160,Rice Farming,2014
111190,Other Grain Farming,2014
111211,Potato Farming,2014
111219,Other Vegetable (except Potato) and Melon Farming,2014
111310,Orange Groves,2014
111320,Citrus (except Orange) Groves,2014
111330,Non-Citrus Fruit and Tree Nut Farming,2014
111411,Mushroom Production,2014
111419,Other Food Crops Grown Under Cover,2014
111421,Nursery and Tree Production,2014
111422,Floriculture Production,2014
111910,Tobacco Farming,2014
111920,Cotton Farming,2014
111930,Sugar Cane Farming,2014
111940,Hay Farming,2014
111993,Fruit and Vegetable Combination Farming,2014
111994,Maple Syrup and Products Production,2014
111999,All Other Miscellaneous Crop Farming,2014
112110,"Beef Cattle Ranching and Farming, including Feedlots",2014
112120,Dairy Cattle and Milk Production,2014
112210,Hog and Pig Farming,2014
112310,Chicken Egg Production,2014
112320,Broiler and Other Meat-Type Chicken Production,2014
112330,Turkey Production,2014
112340,Poultry Hatcheries,2014
112391,Combination Poultry and Egg Production,2014
112399,All Other Poultry Production,2014
112410,Sheep Farming,2014
112420,Goat Farming,2014
112510,Aquaculture,2014
112910,Apiculture,2014
112920,Horse and Other Equine Production,2014
112930,Fur-Bearing Animal and Rabbit Production,2014
112991,Animal Combination Farming,2014
112999,All Other Miscellaneous Animal Production,2014
113110,Timber Tract Operations,2014
113210,Forest Nurseries and Gathering of Forest Products,2014
113311,Logging (except Contract),2014
113312,Contract Logging,2014
114113,Salt Water Fishing,2014
114114,Inland Fishing,2014
114210,Hunting and Trapping,2014
115110,Support Activities for Crop Production,2014
115210,Support Activities for Animal Production,2014
115310,Support Activities for Forestry,2014
211113,Conventional Oil and Gas Extraction,2014
211114,Non-Conventional Oil Extraction,2014
212114,Bituminous Coal Mining,2014
212115,Subbituminous Coal Mining,2014
212116,Lignite Coal Mining,2014
212210,Iron Ore Mining,2014
212220,Gold and Silver Ore Mining,2014
212231,Lead-Zinc Ore Mining,2014
212232,Nickel-Copper Ore Mining,2014
212233,Copper-Zinc Ore Mining,2014
212291,Uranium Ore Mining,2014
212299,All Other Metal Ore Mining,2014
212314,Granite Mining and Quarrying,2014
212315,Limestone Mining and Quarrying,2014
212316,Marble Mining and Quarrying,2014
212317,Sandstone Mining and Quarrying,2014
212323,Sand and Gravel Mining and Quarrying,2014
212326,"Shale, Clay and Refractory Mineral Mining and Quarrying",2014
212392,Diamond Mining,2014
212393,Salt Mining,2014
212394,Asbestos Mining,2014
212395,Gypsum Mining,2014
212396,Potash Mining,2014
212397,Peat Extraction,2014
212398,All Other Non-Metallic Mineral Mining and Quarrying,2014
213111,Oil and Gas Contract Drilling,2014
213117,Contract Drilling (except Oil and Gas),2014
213118,Services to Oil and Gas Extraction,2014
213119,Other Support Activities for Mining,2014
221111,Hydro-Electric Power Generation,2014
221112,Fossil-Fuel Electric Power Generation,2014
221113,Nuclear Electric Power Generation,2014
221119,Other Electric Power Generation,2014
221121,Electric Bulk Power Transmission and Control,2014
221122,Electric Power Distribution,2014
221210,Natural Gas Distribution,2014
221310,Water Supply and Irrigation Systems,2014
221320,Sewage Treatment Facilities,2014
221330,Steam and Air-Conditioning Supply,2014
236110,Residential Building Construction,2014
236210,Industrial Building and Structure Construction,2014
236220,Commercial and Institutional Building Construction,2014
237110,Water and Sewer Line and Related Structures Construction,2014
237120,Oil and Gas Pipeline and Related Structures Construction,2014
237130,Power and Communication Line and Related Structures Construction,2014
237210,Land Subdivision,2014
237310,"Highway, Street and Bridge Construction",2014
237990,Other Heavy and Civil Engineering Construction,2014
238110,Poured Concrete Foundation and Structure Contractors,2014
238120,Structural Steel and Precast Concrete Contractors,2014
238130,Framing Contractors,2014
238140,Masonry Contractors,2014
238150,Glass and Glazing Contractors,2014
238160,Roofing Contractors,2014
238170,Siding Contractors,2014
238190,"Other Foundation, Structure and Building Exterior Contractors",2014
238210,Electrical Contractors and Other Wiring Installation Contractors,2014
238220,"Plumbing, Heating and Air-Conditioning Contractors",2014
238291,Elevator and Escalator Installation Contractors,2014
238299,All Other Building Equipment Contractors,2014
238310,Drywall and Insulation Contractors,2014
238320,Painting and Wall Covering Contractors,2014
238330,Flooring Contractors,2014
238340,Tile and Terrazzo Contractors,2014
238350,Finish Carpentry Contractors,2014
238390,Other Building Finishing Contractors,2014
238910,Site Preparation Contractors,2014
238990,All Other Specialty Trade Contractors,2014
311111,Dog and Cat Food Manufacturing,2014
311119,Other Animal Food Manufacturing,2014
311211,Flour Milling,2014
311214,Rice Milling and Malt Manufacturing,2014
311221,Wet Corn Milling,2014
311224,Oilseed Processing,2014
311225,Fat and Oil Refining and Blending,2014
311230,Breakfast Cereal Manufacturing,2014
311310,Sugar Manufacturing,2014
311320,Chocolate and Confectionery Manufacturing from Cacao Beans,2014
311330,Confectionery Manufacturing from Purchased Chocolate,2014
311340,Non-Chocolate Confectionery Manufacturing,2014
311351,Chocolate and chocolate confectionery manufacturing from cacao beans,2014
311352,Confectionery manufacturing from purchased chocolate,2014
311410,Frozen Food Manufacturing,2014
311420,"Fruit and Vegetable Canning, Pickling and Drying",2014
311511,Fluid Milk Manufacturing,2014
311515,"Butter, Cheese, and Dry and Condensed Dairy Product Manufacturing",2014
311520,Ice Cream and Frozen Dessert Manufacturing,2014
311611,Animal (except Poultry) Slaughtering,2014
311614,Rendering and Meat Processing from Carcasses,2014
311615,Poultry Processing,2014
311710,Seafood Product Preparation and Packaging,2014
311811,Retail Bakeries,2014
311814,Commercial Bakeries and Frozen Bakery Product Manufacturing,2014
311821,Cookie and Cracker Manufacturing,2014
311822,Flour Mixes and Dough Manufacturing from Purchased Flour,2014
311823,Dry Pasta Manufacturing,2014
311824,"Flour mixes, dough, and pasta manufacturing from purchased flour",2014
311830,Tortilla Manufacturing,2014
311911,Roasted Nut and Peanut Butter Manufacturing,2014
311919,Other Snack Food Manufacturing,2014
311920,Coffee and Tea Manufacturing,2014
311930,Flavouring Syrup and Concentrate Manufacturing,2014
311940,Seasoning and Dressing Manufacturing,2014
311990,All Other Food Manufacturing,2014
312110,Soft Drink and Ice Manufacturing,2014
312120,Breweries,2014
312130,Wineries,2014
312140,Distilleries,2014
312210,Tobacco Stemming and Redrying,2014
312220,Tobacco Product Manufacturing,2014
313110,"Fibre, Yarn and Thread Mills",2014
313210,Broad-Woven Fabric Mills,2014
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,2014
313230,Nonwoven Fabric Mills,2014
313233,Manufacturing,2014
313240,Knit Fabric Mills,2014
313310,Textile and Fabric Finishing,2014
313320,Fabric Coating,2014
314110,Carpet and Rug Mills,2014
314120,Curtain and Linen Mills,2014
314910,Textile Bag and Canvas Mills,2014
314990,All Other Textile Product Mills,2014
315110,Hosiery and Sock Mills,2014
315190,Other Clothing Knitting Mills,2014
315210,Cut and Sew Clothing Contracting,2014
315220,Men's and boys' cut and sew clothing manufacturing,2014
315221,Men's and Boys' Cut and Sew Underwear and Nightwear Manufacturing,2014
315222,"Men's and Boys' Cut and Sew Suit, Coat and Overcoat Manufacturing",2014
315226,Men's and Boys' Cut and Sew Shirt Manufacturing,2014
315227,"Men's and Boys' Cut and Sew Trouser, Slack and Jean Manufacturing",2014
315229,Other Men's and Boys' Cut and Sew Clothing Manufacturing,2014
315231,"Women's and Girls' Cut and Sew Lingerie, Loungewear and Nightwear Manufacturing",2014
315232,Women's and Girls' Cut and Sew Blouse and Shirt Manufacturing,2014
315233,Women's and Girls' Cut and Sew Dress Manufacturing,2014
315234,"Women's and Girls' Cut and Sew Suit, Coat, Tailored Jacket and Skirt Manufacturing",2014
315239,Other Women's and Girls' Cut and Sew Clothing Manufacturing,2014
315241,Infants' cut and sew clothing manufacturing,2014
315249,Women's and girls' cut and sew clothing manufacturing,2014
315281,Fur and leather clothing manufacturing,2014
315289,All other cut and sew clothing manufacturing,2014
315291,Infants' Cut and Sew Clothing Manufacturing,2014
315292,Fur and Leather Clothing Manufacturing,2014
315299,All Other Cut and Sew Clothing Manufacturing,2014
315990,Clothing Accessories and Other Clothing Manufacturing,2014
316110,Leather and Hide Tanning and Finishing,2014
316210,Footwear Manufacturing,2014
316990,Other Leather and Allied Product Manufacturing,2014
321111,Sawmills (except Shingle and Shake Mills),2014
321112,Shingle and Shake Mills,2014
321114,Wood Preservation,2014
321211,Hardwood Veneer and Plywood Mills,2014
321212,Softwood Veneer and Plywood Mills,2014
321215,Structural Wood Product Manufacturing,2014
321216,Particle Board and Fibreboard Mills,2014
321217,Waferboard Mills,2014
321911,Wood Window and Door Manufacturing,2014
321919,Other Millwork,2014
321920,Wood Container and Pallet Manufacturing,2014
321991,Manufactured (Mobile) Home Manufacturing,2014
321992,Prefabricated Wood Building Manufacturing,2014
321999,All Other Miscellaneous Wood Product Manufacturing,2014
322111,Mechanical Pulp Mills,2014
322112,Chemical Pulp Mills,2014
322121,Paper (except Newsprint) Mills,2014
322122,Newsprint Mills,2014
322130,Paperboard Mills,2014
322211,Corrugated and Solid Fibre Box Manufacturing,2014
